"B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M","GEO_ID","NAME"
"Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female","id","Geographic Area Name"
"49.8","16.1","43.5","17.2","53.0","16.9","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"46.2","8.6","42.9","8.5","48.1","9.6","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"57.2","6.2","59.2","8.3","55.6","6.9","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"52.7","8.7","39.9","23.0","55.4","2.2","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"56.8","8.6","54.8","9.0","58.1","7.7","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"42.4","2.9","41.6","1.3","52.0","9.7","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"35.0","21.1","34.2","20.3","44.1","23.5","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"20.8","1.9","21.8","9.5","20.5","0.6","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"42.7","6.6","39.1","11.3","43.7","8.3","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"30.2","1.0","30.2","15.2","30.3","1.6","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"35.2","7.1","29.7","10.3","38.8","6.3","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"41.7","9.0","43.2","15.1","40.7","8.7","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"36.6","5.6","36.0","13.0","39.8","8.2","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"28.4","7.8","27.9","10.0","33.3","9.3","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"36.2","3.5","29.6","13.3","36.7","10.2","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"55.3","8.2","52.8","13.5","55.8","10.7","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"47.6","5.8","48.5","9.6","47.2","9.1","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"55.0","11.9","55.8","8.2","48.9","12.3","1500000US240010011002","Block Group 2, Census Tract 11, Allegany County, Maryland"
"35.1","9.2","35.5","12.0","33.1","12.5","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"49.1","6.6","42.9","10.0","54.4","7.5","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"47.2","8.7","41.3","9.6","49.9","5.7","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"39.7","1.6","39.4","1.5","47.7","7.6","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"39.6","21.1","38.0","11.9","52.0","18.8","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"49.9","6.8","48.6","8.5","52.2","8.0","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"46.3","5.9","39.5","7.9","52.7","9.6","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"47.2","4.6","44.9","5.1","48.8","6.2","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"52.3","10.8","59.0","6.2","49.3","20.9","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"47.1","9.8","48.4","7.4","43.1","25.8","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"51.4","10.6","53.5","6.7","45.7","9.6","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"42.4","11.3","34.8","19.0","44.7","20.9","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"31.7","19.6","30.3","1.2","44.5","7.5","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"30.0","13.6","30.8","12.7","22.8","24.6","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"49.5","7.9","46.7","16.2","50.7","14.5","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"24.8","11.0","23.3","2.3","34.6","15.0","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"35.8","9.6","21.7","33.2","40.1","8.2","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"19.9","0.3","20.3","0.4","19.5","0.4","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"45.7","5.9","44.8","4.6","48.4","9.9","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"32.4","5.0","30.5","5.9","34.8","5.1","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"49.8","17.3","48.2","19.9","53.3","10.6","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"38.9","25.2","49.7","19.3","32.7","20.0","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"36.2","16.7","36.8","22.9","31.5","35.1","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"50.2","22.7","37.8","17.5","51.6","11.9","1500000US240010020004","Block Group 4, Census Tract 20, Allegany County, Maryland"
"50.0","4.6","54.3","3.2","46.5","6.1","1500000US240010020005","Block Group 5, Census Tract 20, Allegany County, Maryland"
"48.3","9.4","47.5","9.1","48.8","11.3","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"36.3","7.0","31.3","12.6","36.6","6.1","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"45.5","14.4","48.6","18.0","44.3","15.3","1500000US240010021003","Block Group 3, Census Tract 21, Allegany County, Maryland"
"53.6","9.7","51.1","15.0","55.2","9.0","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"31.0","8.5","31.6","12.0","30.6","7.9","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"36.4","18.3","30.9","19.8","43.1","20.9","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"51.2","3.8","43.6","11.6","53.5","4.2","1500000US240010023001","Block Group 1, Census Tract 23, Allegany County, Maryland"
"51.4","7.1","48.3","10.1","57.5","11.9","1500000US240010023002","Block Group 2, Census Tract 23, Allegany County, Maryland"
"38.8","11.4","31.1","11.8","44.2","9.6","1500000US240010023003","Block Group 3, Census Tract 23, Allegany County, Maryland"
"47.0","14.6","42.4","9.1","53.5","21.0","1500000US240010023004","Block Group 4, Census Tract 23, Allegany County, Maryland"
"43.4","7.7","44.3","11.1","43.1","7.9","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"53.1","8.0","50.7","7.1","55.2","7.6","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"36.1","3.9","40.2","3.8","29.1","6.5","1500000US240037011031","Block Group 1, Census Tract 7011.03, Anne Arundel County, Maryland"
"42.2","14.2","43.7","15.4","36.1","11.6","1500000US240037011032","Block Group 2, Census Tract 7011.03, Anne Arundel County, Maryland"
"43.8","11.5","42.2","16.2","48.6","14.3","1500000US240037011041","Block Group 1, Census Tract 7011.04, Anne Arundel County, Maryland"
"44.9","8.6","42.5","8.9","48.3","7.7","1500000US240037011042","Block Group 2, Census Tract 7011.04, Anne Arundel County, Maryland"
"49.7","5.5","37.7","16.2","50.9","12.0","1500000US240037012011","Block Group 1, Census Tract 7012.01, Anne Arundel County, Maryland"
"36.6","12.3","33.1","8.7","43.9","12.8","1500000US240037012012","Block Group 2, Census Tract 7012.01, Anne Arundel County, Maryland"
"37.2","3.7","38.5","2.4","34.9","10.3","1500000US240037012021","Block Group 1, Census Tract 7012.02, Anne Arundel County, Maryland"
"34.9","15.1","34.6","19.0","40.0","13.1","1500000US240037012022","Block Group 2, Census Tract 7012.02, Anne Arundel County, Maryland"
"52.9","5.2","41.7","23.6","57.7","9.4","1500000US240037013011","Block Group 1, Census Tract 7013.01, Anne Arundel County, Maryland"
"37.4","9.6","26.8","17.4","41.8","5.8","1500000US240037013012","Block Group 2, Census Tract 7013.01, Anne Arundel County, Maryland"
"55.8","7.6","59.9","13.1","55.3","4.7","1500000US240037013021","Block Group 1, Census Tract 7013.02, Anne Arundel County, Maryland"
"46.3","3.2","43.9","9.9","47.9","5.2","1500000US240037013022","Block Group 2, Census Tract 7013.02, Anne Arundel County, Maryland"
"49.3","5.9","48.7","6.8","50.0","7.1","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"53.6","3.9","52.4","4.2","55.1","3.9","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"48.4","8.5","45.5","12.1","50.1","8.6","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
