"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"312","74","225","82","163","70","46","35","16","26","0","12","0","12","0","12","87","41","87","41","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"686","82","483","79","290","70","90","57","66","48","20","29","17","20","0","12","203","74","167","68","36","42","0","12","0","12","0","12","0","12","0","12","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"422","82","351","86","135","61","74","43","114","67","0","12","9","14","19","24","71","44","71","44","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"369","67","283","68","164","61","47","32","49","35","0","12","23","24","0","12","86","44","76","42","10","15","0","12","0","12","0","12","0","12","0","12","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"355","54","198","56","96","44","67","43","25","26","10","15","0","12","0","12","157","42","157","42","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"448","76","322","73","172","49","54","37","68","55","28","30","0","12","0","12","126","63","84","52","42","39","0","12","0","12","0","12","0","12","0","12","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"650","82","391","92","193","74","82","55","107","51","0","12","9","17","0","12","259","73","227","70","25","29","7","12","0","12","0","12","0","12","0","12","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"262","69","228","71","131","62","49","36","30","37","18","27","0","12","0","12","34","23","34","23","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"248","63","185","68","116","49","29","30","40","47","0","12","0","12","0","12","63","35","63","35","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"267","54","196","61","88","41","24","28","65","47","19","28","0","12","0","12","71","44","44","31","27","32","0","12","0","12","0","12","0","12","0","12","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"739","115","450","106","185","84","58","37","127","77","67","47","13","20","0","12","289","79","264","82","25","26","0","12","0","12","0","12","0","12","0","12","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"252","72","141","56","81","43","20","24","40","33","0","12","0","12","0","12","111","55","99","54","12","17","0","12","0","12","0","12","0","12","0","12","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"647","112","265","72","134","66","41","33","14","25","36","50","0","12","40","26","382","109","294","88","88","82","0","12","0","12","0","12","0","12","0","12","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"375","103","124","57","99","46","12","19","13","23","0","12","0","12","0","12","251","87","169","74","35","37","14","23","33","47","0","12","0","12","0","12","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"969","117","621","99","306","80","222","80","74","51","11","18","8","13","0","12","348","108","315","81","33","56","0","12","0","12","0","12","0","12","0","12","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"311","83","222","64","60","34","119","68","43","35","0","12","0","12","0","12","89","63","89","63","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"817","108","390","91","202","68","139","69","10","18","12","21","4","12","23","30","427","105","408","104","19","22","0","12","0","12","0","12","0","12","0","12","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"749","107","340","87","103","49","100","72","50","40","23","26","43","55","21","33","409","114","325","101","68","60","16","27","0","12","0","12","0","12","0","12","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"516","94","236","70","74","32","111","59","22","24","29","30","0","12","0","12","280","82","259","80","21","17","0","12","0","12","0","12","0","12","0","12","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"397","69","260","63","96","41","69","43","71","49","12","19","12","13","0","12","137","42","132","42","5","8","0","12","0","12","0","12","0","12","0","12","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"596","87","335","86","173","60","114","68","0","12","48","30","0","12","0","12","261","79","238","80","23","19","0","12","0","12","0","12","0","12","0","12","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"549","104","109","59","62","49","12","16","0","12","0","12","20","32","15","20","440","92","394","89","38","49","0","12","0","12","8","13","0","12","0","12","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"800","89","403","78","238","64","48","38","57","34","13","19","41","53","6","11","397","91","366","88","31","27","0","12","0","12","0","12","0","12","0","12","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"526","80","349","80","224","63","42","34","26","30","35","36","14","19","8","14","177","54","131","49","37","29","9","16","0","12","0","12","0","12","0","12","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"443","79","296","72","110","51","83","50","68","46","35","31","0","12","0","12","147","63","112","60","20","28","0","12","0","12","0","12","15","19","0","12","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"238","55","173","55","133","61","22","24","18","20","0","12","0","12","0","12","65","36","65","36","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"616","80","380","85","220","69","49","30","104","58","7","10","0","12","0","12","236","70","168","65","68","31","0","12","0","12","0","12","0","12","0","12","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"303","57","172","50","90","38","30","21","41","27","11","17","0","12","0","12","131","50","111","47","20","18","0","12","0","12","0","12","0","12","0","12","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"297","57","243","56","121","43","62","41","47","30","13","20","0","12","0","12","54","45","54","45","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"776","80","556","88","309","83","126","66","57","41","53","31","11","17","0","12","220","68","192","68","28","27","0","12","0","12","0","12","0","12","0","12","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"568","85","352","87","157","72","122","61","73","58","0","12","0","12","0","12","216","62","176","51","14","20","26","34","0","12","0","12","0","12","0","12","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"635","54","409","57","280","67","63","34","50","31","16","17","0","12","0","12","226","59","171","55","55","42","0","12","0","12","0","12","0","12","0","12","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"758","72","575","66","313","73","113","45","94","47","55","46","0","12","0","12","183","71","155","67","28","27","0","12","0","12","0","12","0","12","0","12","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"252","38","157","37","105","38","11","11","14","16","9","10","18","20","0","12","95","43","59","32","36","31","0","12","0","12","0","12","0","12","0","12","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"261","66","138","38","65","29","63","38","5","7","0","12","0","12","5","8","123","68","118","68","0","12","0","12","5","7","0","12","0","12","0","12","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"296","49","248","57","114","38","58","41","56","36","7","11","13","14","0","12","48","27","39","23","9","14","0","12","0","12","0","12","0","12","0","12","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"819","63","504","88","238","45","157","82","79","38","22","19","8","11","0","12","315","79","210","69","95","43","10","15","0","12","0","12","0","12","0","12","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"249","91","206","77","93","42","113","78","0","12","0","12","0","12","0","12","43","61","43","61","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"490","138","326","134","167","107","51","46","28","40","80","87","0","12","0","12","164","72","124","62","40","44","0","12","0","12","0","12","0","12","0","12","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"633","170","400","111","175","78","142","84","45","50","7","14","31","43","0","12","233","123","187","103","46","64","0","12","0","12","0","12","0","12","0","12","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"640","161","157","89","118","75","39","49","0","12","0","12","0","12","0","12","483","152","405","116","0","12","78","128","0","12","0","12","0","12","0","12","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"866","122","427","85","231","79","34","29","120","50","42","37","0","12","0","12","439","108","340","85","72","63","27","45","0","12","0","12","0","12","0","12","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"382","98","166","66","131","61","15","25","20","32","0","12","0","12","0","12","216","83","161","90","55","49","0","12","0","12","0","12","0","12","0","12","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"532","130","81","60","46","47","35","38","0","12","0","12","0","12","0","12","451","129","199","108","210","97","10","16","32","49","0","12","0","12","0","12","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"590","85","460","90","166","77","130","58","33","33","39","35","81","61","11","17","130","57","98","51","32","30","0","12","0","12","0","12","0","12","0","12","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
