"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!2-person household","Margin of Error!!Total:!!Family households:!!2-person household","Estimate!!Total:!!Family households:!!3-person household","Margin of Error!!Total:!!Family households:!!3-person household","Estimate!!Total:!!Family households:!!4-person household","Margin of Error!!Total:!!Family households:!!4-person household","Estimate!!Total:!!Family households:!!5-person household","Margin of Error!!Total:!!Family households:!!5-person household","Estimate!!Total:!!Family households:!!6-person household","Margin of Error!!Total:!!Family households:!!6-person household","Estimate!!Total:!!Family households:!!7-or-more person household","Margin of Error!!Total:!!Family households:!!7-or-more person household","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!1-person household","Margin of Error!!Total:!!Nonfamily households:!!1-person household","Estimate!!Total:!!Nonfamily households:!!2-person household","Margin of Error!!Total:!!Nonfamily households:!!2-person household","Estimate!!Total:!!Nonfamily households:!!3-person household","Margin of Error!!Total:!!Nonfamily households:!!3-person household","Estimate!!Total:!!Nonfamily households:!!4-person household","Margin of Error!!Total:!!Nonfamily households:!!4-person household","Estimate!!Total:!!Nonfamily households:!!5-person household","Margin of Error!!Total:!!Nonfamily households:!!5-person household","Estimate!!Total:!!Nonfamily households:!!6-person household","Margin of Error!!Total:!!Nonfamily households:!!6-person household","Estimate!!Total:!!Nonfamily households:!!7-or-more person household","Margin of Error!!Total:!!Nonfamily households:!!7-or-more person household","id","Geographic Area Name"
"370","104","175","69","123","54","0","13","22","24","0","13","6","10","24","35","195","91","176","92","19","23","0","13","0","13","0","13","0","13","0","13","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"793","140","590","125","329","98","106","81","86","49","38","41","21","23","10","17","203","88","191","87","12","13","0","13","0","13","0","13","0","13","0","13","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"412","72","356","74","219","64","86","53","46","38","5","8","0","13","0","13","56","32","56","32","0","13","0","13","0","13","0","13","0","13","0","13","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"366","160","234","146","166","140","45","39","15","22","8","13","0","13","0","13","132","71","74","41","58","64","0","13","0","13","0","13","0","13","0","13","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"419","106","326","107","217","91","56","36","21","30","32","33","0","13","0","13","93","48","85","49","8","13","0","13","0","13","0","13","0","13","0","13","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"343","67","220","61","126","55","21","25","20","31","27","28","26","26","0","13","123","58","119","58","4","7","0","13","0","13","0","13","0","13","0","13","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"530","115","195","88","95","57","31","26","38","51","31","49","0","13","0","13","335","117","261","104","31","30","43","48","0","13","0","13","0","13","0","13","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"165","48","85","40","59","34","12","15","10","18","4","9","0","13","0","13","80","38","66","39","12","15","0","13","2","5","0","13","0","13","0","13","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"882","143","600","117","377","106","136","72","55","41","24","27","0","13","8","12","282","102","268","100","14","26","0","13","0","13","0","13","0","13","0","13","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"370","94","196","66","78","46","37","36","8","14","73","35","0","13","0","13","174","79","167","77","7","11","0","13","0","13","0","13","0","13","0","13","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"785","119","469","111","165","60","159","95","115","73","12","18","0","13","18","28","316","85","260","81","56","57","0","13","0","13","0","13","0","13","0","13","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"658","119","328","107","181","84","55","47","41","44","51","42","0","13","0","13","330","96","273","86","57","51","0","13","0","13","0","13","0","13","0","13","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"455","90","328","92","104","40","113","71","61","40","36","35","0","13","14","23","127","45","122","44","5","8","0","13","0","13","0","13","0","13","0","13","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"305","73","197","65","62","31","71","47","40","36","19","27","0","13","5","9","108","47","76","39","28","24","4","10","0","13","0","13","0","13","0","13","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"532","102","319","83","130","45","29","27","116","64","19","23","25","40","0","13","213","73","169","63","44","42","0","13","0","13","0","13","0","13","0","13","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"475","110","78","51","21","19","16","22","35","43","0","13","6","10","0","13","397","110","357","110","20","25","20","22","0","13","0","13","0","13","0","13","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"321","67","171","46","103","43","31","24","15","14","22","18","0","13","0","13","150","55","107","49","43","32","0","13","0","13","0","13","0","13","0","13","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"302","83","69","34","45","31","6","12","6","9","6","9","6","10","0","13","233","77","213","76","20","19","0","13","0","13","0","13","0","13","0","13","1500000US240010011002","Block Group 2, Census Tract 11, Allegany County, Maryland"
"337","84","255","90","118","61","87","57","23","33","27","44","0","13","0","13","82","46","67","42","15","23","0","13","0","13","0","13","0","13","0","13","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"920","160","506","108","272","68","52","55","132","66","34","35","16","18","0","13","414","129","326","120","88","65","0","13","0","13","0","13","0","13","0","13","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"578","127","318","91","140","74","111","57","56","29","11","16","0","13","0","13","260","99","229","99","31","24","0","13","0","13","0","13","0","13","0","13","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"381","75","263","75","171","74","43","23","40","31","0","13","9","12","0","13","118","51","83","36","35","37","0","13","0","13","0","13","0","13","0","13","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"367","80","248","70","91","40","96","49","52","42","9","16","0","13","0","13","119","54","119","54","0","13","0","13","0","13","0","13","0","13","0","13","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"1138","122","874","119","544","107","179","75","124","77","21","20","6","8","0","13","264","92","191","62","73","72","0","13","0","13","0","13","0","13","0","13","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"788","103","485","89","272","83","110","42","67","39","29","22","7","10","0","13","303","90","219","56","84","74","0","13","0","13","0","13","0","13","0","13","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"877","128","610","98","317","88","134","60","86","50","57","38","0","13","16","25","267","107","195","97","45","36","27","33","0","13","0","13","0","13","0","13","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"288","77","97","35","57","29","22","18","9","10","4","8","5","7","0","13","191","81","138","63","11","12","42","53","0","13","0","13","0","13","0","13","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"227","56","162","54","61","31","84","43","14","21","0","13","3","6","0","13","65","36","54","34","11","16","0","13","0","13","0","13","0","13","0","13","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
