"B11006_001E","B11006_001M","B11006_002E","B11006_002M","B11006_003E","B11006_003M","B11006_004E","B11006_004M","B11006_005E","B11006_005M","B11006_006E","B11006_006M","B11006_007E","B11006_007M","B11006_008E","B11006_008M","B11006_009E","B11006_009M","B11006_010E","B11006_010M","B11006_011E","B11006_011M","B11006_012E","B11006_012M","B11006_013E","B11006_013M","B11006_014E","B11006_014M","B11006_015E","B11006_015M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Households with one or more people 60 years and over","Margin of Error!!Total!!Households with one or more people 60 years and over","Estimate!!Total!!Households with one or more people 60 years and over!!Family households","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Married-couple family","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Married-couple family","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with one or more people 60 years and over!!Nonfamily households","Margin of Error!!Total!!Households with one or more people 60 years and over!!Nonfamily households","Estimate!!Total!!Households with no people 60 years and over","Margin of Error!!Total!!Households with no people 60 years and over","Estimate!!Total!!Households with no people 60 years and over!!Family households","Margin of Error!!Total!!Households with no people 60 years and over!!Family households","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Married-couple family","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Married-couple family","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with no people 60 years and over!!Nonfamily households","Margin of Error!!Total!!Households with no people 60 years and over!!Nonfamily households","id","Geographic Area Name"
"235","59","137","43","90","39","90","39","0","12","0","12","0","12","47","30","98","51","67","45","60","44","7","11","7","11","0","12","31","31","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"714","92","372","75","199","54","185","53","14","18","5","9","9","15","173","59","342","86","286","92","233","89","53","41","38","34","15","24","56","53","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"520","84","204","52","129","45","107","39","22","25","14","20","8","13","75","37","316","87","234","70","189","68","45","29","6","10","39","28","82","58","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"294","66","116","46","91","40","91","40","0","12","0","12","0","12","25","25","178","61","114","50","91","41","23","27","0","12","23","27","64","46","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"472","71","212","57","150","56","141","54","9","13","9","13","0","12","62","32","260","60","149","48","133","49","16","19","0","12","16","19","111","55","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"386","73","178","46","125","44","97","41","28","24","16","18","12","17","53","28","208","69","164","71","124","48","40","50","40","50","0","12","44","28","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"524","85","221","72","125","47","110","43","15","17","0","12","15","17","96","56","303","83","238","76","176","69","62","45","0","12","62","45","65","39","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"247","69","125","55","83","59","74","58","9","14","0","12","9","14","42","30","122","59","84","49","50","42","34","34","21","28","13","21","38","34","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"294","65","128","48","70","39","60","36","10","15","0","12","10","15","58","33","166","68","117","51","81","50","36","36","0","12","36","36","49","49","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"233","53","141","44","86","41","67","42","19","22","0","12","19","22","55","36","92","45","73","40","64","37","9","14","0","12","9","14","19","22","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"558","100","237","61","86","36","62","31","24","20","0","12","24","20","151","61","321","92","233","90","135","61","98","67","29","45","69","50","88","46","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"381","100","172","55","88","44","57","35","31","27","10","15","21","23","84","48","209","97","80","48","30","26","50","45","0","12","50","45","129","83","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"638","93","315","76","95","39","65","38","30","28","0","12","30","28","220","74","323","79","158","68","70","48","88","52","28","33","60","41","165","81","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"254","71","131","46","79","36","79","36","0","12","0","12","0","12","52","31","123","59","36","34","36","34","0","12","0","12","0","12","87","57","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"883","112","351","63","165","48","140","45","25","21","0","12","25","21","186","59","532","122","459","113","252","96","207","81","55","44","152","70","73","40","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"317","84","69","35","48","29","48","29","0","12","0","12","0","12","21","22","248","83","116","63","108","61","8","14","0","12","8","14","132","71","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"803","105","464","92","136","54","93","44","43","30","4","8","39","31","328","106","339","84","262","80","138","63","124","53","6","10","118","55","77","40","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"675","109","218","75","125","51","87","47","38","28","0","12","38","28","93","52","457","97","278","77","156","52","122","75","0","12","122","75","179","87","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"447","65","147","35","91","29","71","24","20","16","0","12","20","16","56","28","300","74","186","61","144","47","42","38","8","11","34","37","114","65","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"417","77","100","29","54","26","15","13","39","23","7","11","32","20","46","23","317","75","246","69","86","38","160","60","30","28","130","52","71","39","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"569","103","242","66","119","55","93","51","26","22","0","12","26","22","123","62","327","88","250","80","133","61","117","69","50","49","67","47","77","41","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"580","120","246","78","39","35","8","13","31","33","0","12","31","33","207","69","334","123","109","96","80","91","29","29","0","12","29","29","225","91","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"657","78","313","57","73","37","44","24","29","30","12","12","17","28","240","58","344","63","154","48","127","50","27","19","0","12","27","19","190","56","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"650","82","297","52","155","42","145","44","10","12","0","12","10","12","142","40","353","86","278","77","254","77","24","35","0","12","24","35","75","56","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"324","77","153","53","92","43","62","37","30","26","0","12","30","26","61","39","171","79","127","75","104","78","23","25","9","19","14","15","44","26","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"252","65","151","42","143","44","133","42","10","15","10","15","0","12","8","14","101","61","61","52","56","51","5","9","0","12","5","9","40","44","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"545","54","220","43","127","31","118","27","9","13","9","13","0","12","93","38","325","53","213","53","160","55","53","31","14","13","39","31","112","39","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
