"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!2-person household","Margin of Error!!Total:!!Family households:!!2-person household","Estimate!!Total:!!Family households:!!3-person household","Margin of Error!!Total:!!Family households:!!3-person household","Estimate!!Total:!!Family households:!!4-person household","Margin of Error!!Total:!!Family households:!!4-person household","Estimate!!Total:!!Family households:!!5-person household","Margin of Error!!Total:!!Family households:!!5-person household","Estimate!!Total:!!Family households:!!6-person household","Margin of Error!!Total:!!Family households:!!6-person household","Estimate!!Total:!!Family households:!!7-or-more person household","Margin of Error!!Total:!!Family households:!!7-or-more person household","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!1-person household","Margin of Error!!Total:!!Nonfamily households:!!1-person household","Estimate!!Total:!!Nonfamily households:!!2-person household","Margin of Error!!Total:!!Nonfamily households:!!2-person household","Estimate!!Total:!!Nonfamily households:!!3-person household","Margin of Error!!Total:!!Nonfamily households:!!3-person household","Estimate!!Total:!!Nonfamily households:!!4-person household","Margin of Error!!Total:!!Nonfamily households:!!4-person household","Estimate!!Total:!!Nonfamily households:!!5-person household","Margin of Error!!Total:!!Nonfamily households:!!5-person household","Estimate!!Total:!!Nonfamily households:!!6-person household","Margin of Error!!Total:!!Nonfamily households:!!6-person household","Estimate!!Total:!!Nonfamily households:!!7-or-more person household","Margin of Error!!Total:!!Nonfamily households:!!7-or-more person household","id","Geographic Area Name"
"298","70","155","56","125","54","0","12","13","20","0","12","8","13","9","15","143","60","132","58","11","18","0","12","0","12","0","12","0","12","0","12","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"765","104","529","101","317","95","38","35","81","48","61","52","32","27","0","12","236","67","227","65","9","13","0","12","0","12","0","12","0","12","0","12","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"447","78","370","75","191","65","107","45","66","46","6","10","0","12","0","12","77","46","77","46","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"301","67","152","54","71","37","39","31","32","32","10","17","0","12","0","12","149","62","113","48","36","43","0","12","0","12","0","12","0","12","0","12","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"482","73","296","72","180","60","51","34","36","33","29","32","0","12","0","12","186","77","134","65","8","13","44","39","0","12","0","12","0","12","0","12","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"346","63","218","62","111","48","31","28","34","29","11","20","31","30","0","12","128","46","108","42","20","23","0","12","0","12","0","12","0","12","0","12","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"429","74","304","75","163","56","10","17","74","48","36","41","21","24","0","12","125","55","117","52","8","13","0","12","0","12","0","12","0","12","0","12","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"257","66","166","73","109","58","18","26","10","17","29","35","0","12","0","12","91","47","78","43","13","20","0","12","0","12","0","12","0","12","0","12","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"375","68","251","71","130","55","67","46","54","41","0","12","0","12","0","12","124","55","124","55","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"280","67","190","78","72","54","68","50","50","45","0","12","0","12","0","12","90","49","53","37","37","32","0","12","0","12","0","12","0","12","0","12","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"682","111","344","92","142","61","82","52","81","52","39","34","0","12","0","12","338","83","313","81","25","29","0","12","0","12","0","12","0","12","0","12","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"396","118","154","63","74","38","24","28","22","27","0","12","0","12","34","44","242","107","162","71","67","88","13","19","0","12","0","12","0","12","0","12","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"618","113","226","72","123","61","35","27","35","35","0","12","33","51","0","12","392","122","312","119","65","50","15","23","0","12","0","12","0","12","0","12","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"195","69","84","45","66","41","12","14","2","9","4","10","0","12","0","12","111","61","98","59","9","15","0","12","4","8","0","12","0","12","0","12","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"784","109","550","114","326","84","137","71","62","49","16","25","0","12","9","13","234","77","227","76","7","14","0","12","0","12","0","12","0","12","0","12","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"407","96","240","80","104","54","31","42","33","43","72","37","0","12","0","12","167","66","151","65","16","22","0","12","0","12","0","12","0","12","0","12","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"784","99","441","88","161","52","173","82","71","56","19","24","0","12","17","26","343","78","281","74","62","48","0","12","0","12","0","12","0","12","0","12","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"733","108","351","92","155","66","72","50","47","40","77","47","0","12","0","12","382","108","347","110","35","37","0","12","0","12","0","12","0","12","0","12","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"440","75","291","72","123","44","58","29","64","34","33","36","0","12","13","19","149","54","130","49","19","22","0","12","0","12","0","12","0","12","0","12","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"366","88","215","72","77","40","87","58","36","25","15","18","0","12","0","12","151","65","108","51","31","26","12","19","0","12","0","12","0","12","0","12","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"546","91","301","77","125","48","44","37","96","52","11","18","25","34","0","12","245","88","203","76","37","36","0","12","5","10","0","12","0","12","0","12","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"499","89","73","38","43","30","10","16","20","22","0","12","0","12","0","12","426","88","366","85","32","31","28","32","0","12","0","12","0","12","0","12","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"647","87","233","53","128","50","51","29","21","16","26","16","7","11","0","12","414","88","309","76","81","39","0","12","24","34","0","12","0","12","0","12","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"657","108","396","71","176","60","58","53","98","54","46","43","18","20","0","12","261","85","189","59","72","67","0","12","0","12","0","12","0","12","0","12","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"344","87","243","86","105","57","93","56","13","20","32","50","0","12","0","12","101","46","74","43","27","24","0","12","0","12","0","12","0","12","0","12","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"218","42","177","47","126","32","14","19","37","27","0","12","0","12","0","12","41","31","20","21","21","24","0","12","0","12","0","12","0","12","0","12","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"568","73","338","67","159","48","96","49","75","32","8","11","0","12","0","12","230","60","190","52","30","24","0","12","10","16","0","12","0","12","0","12","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"364","48","230","52","153","48","38","23","25","25","0","12","14","14","0","12","134","43","96","34","38","35","0","12","0","12","0","12","0","12","0","12","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"340","72","269","76","168","58","61","36","32","37","8","14","0","12","0","12","71","39","58","31","13","21","0","12","0","12","0","12","0","12","0","12","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"855","108","660","115","389","98","140","73","121","67","10","13","0","12","0","12","195","71","181","67","14","21","0","12","0","12","0","12","0","12","0","12","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"414","84","334","93","129","50","125","64","80","59","0","12","0","12","0","12","80","42","80","42","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"772","57","378","53","178","42","108","39","66","31","22","15","4","6","0","12","394","67","333","63","61","59","0","12","0","12","0","12","0","12","0","12","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"839","71","575","88","322","69","120","45","79","53","32","22","0","12","22","36","264","78","159","63","42","32","63","46","0","12","0","12","0","12","0","12","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"269","41","110","37","45","25","34","22","12","12","7","11","12","12","0","12","159","48","144","48","15","16","0","12","0","12","0","12","0","12","0","12","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"272","56","170","54","77","36","60","39","25","30","0","12","8","9","0","12","102","44","90","42","12","18","0","12","0","12","0","12","0","12","0","12","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"253","50","196","48","119","43","19","16","14","16","31","17","2","10","11","9","57","34","49","32","8","13","0","12","0","12","0","12","0","12","0","12","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
