"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"1333","96","878","113","309","90","282","104","255","77","13","16","19","18","0","12","455","109","274","96","181","84","0","12","0","12","0","12","0","12","0","12","1500000US240276029002","Block Group 2, Census Tract 6029, Howard County, Maryland"
"516","143","409","127","180","93","0","12","105","52","87","104","16","25","21","28","107","99","107","99","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276030011","Block Group 1, Census Tract 6030.01, Howard County, Maryland"
"490","73","440","81","199","78","24","30","132","70","59","61","26","32","0","12","50","46","50","46","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276030012","Block Group 2, Census Tract 6030.01, Howard County, Maryland"
"1076","116","822","115","413","130","225","91","172","78","12","21","0","12","0","12","254","86","254","86","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276030013","Block Group 3, Census Tract 6030.01, Howard County, Maryland"
"848","85","757","83","355","100","169","68","115","65","108","52","10","16","0","12","91","55","78","48","13","20","0","12","0","12","0","12","0","12","0","12","1500000US240276030031","Block Group 1, Census Tract 6030.03, Howard County, Maryland"
"491","87","419","71","132","69","119","64","121","45","12","18","35","29","0","12","72","60","61","58","11","17","0","12","0","12","0","12","0","12","0","12","1500000US240276030032","Block Group 2, Census Tract 6030.03, Howard County, Maryland"
"865","117","734","113","254","93","158","69","200","80","87","60","0","12","35","39","131","53","109","50","22","35","0","12","0","12","0","12","0","12","0","12","1500000US240276030041","Block Group 1, Census Tract 6030.04, Howard County, Maryland"
"978","125","790","134","280","94","132","60","305","119","41","40","15","24","17","27","188","91","171","85","17","28","0","12","0","12","0","12","0","12","0","12","1500000US240276030042","Block Group 2, Census Tract 6030.04, Howard County, Maryland"
"369","135","278","121","39","39","109","111","18","28","75","69","21","31","16","27","91","105","20","30","0","12","0","12","0","12","0","12","71","103","0","12","1500000US240276030043","Block Group 3, Census Tract 6030.04, Howard County, Maryland"
"757","100","590","99","172","68","163","67","138","86","42","47","35","41","40","38","167","101","128","89","39","46","0","12","0","12","0","12","0","12","0","12","1500000US240276040011","Block Group 1, Census Tract 6040.01, Howard County, Maryland"
