"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"68958","10882","82237","50817","84539","71380","41141","37105","61645","12505","65200","8973","43403","31544","1500000US240317032123","Block Group 3, Census Tract 7032.12, Montgomery County, Maryland"
"26490","4018","-","**","60035","48322","-","**","25097","6943","29077","19761","-","**","1500000US240317032124","Block Group 4, Census Tract 7032.12, Montgomery County, Maryland"
"30239","7848","38187","10530","39727","8915","18326","1177","26548","5129","27143","4210","-","**","1500000US240317032131","Block Group 1, Census Tract 7032.13, Montgomery County, Maryland"
"30075","5359","34813","7000","38887","4725","19773","10764","26098","6487","29519","13377","17000","6972","1500000US240317032132","Block Group 2, Census Tract 7032.13, Montgomery County, Maryland"
"31546","8829","40234","11490","40581","9246","-","**","28682","6203","-","**","11490","8476","1500000US240317032133","Block Group 3, Census Tract 7032.13, Montgomery County, Maryland"
"20222","4669","25042","6536","45804","27973","18553","4035","16176","10704","22139","8460","-","**","1500000US240317032141","Block Group 1, Census Tract 7032.14, Montgomery County, Maryland"
"30809","6965","32437","8217","40033","6677","20417","11727","19922","13509","39706","16031","-","**","1500000US240317032142","Block Group 2, Census Tract 7032.14, Montgomery County, Maryland"
"28531","9176","31510","7244","35801","7890","7476","7049","22500","17403","34157","7736","10727","4538","1500000US240317032143","Block Group 3, Census Tract 7032.14, Montgomery County, Maryland"
"32656","8828","35417","6906","40960","8007","18950","5107","24118","13725","47344","13050","12460","8540","1500000US240317032151","Block Group 1, Census Tract 7032.15, Montgomery County, Maryland"
"54924","8187","53317","7812","58942","52445","15667","12942","63229","34377","77639","29629","-","**","1500000US240317032152","Block Group 2, Census Tract 7032.15, Montgomery County, Maryland"
"35403","16455","50192","46002","95714","73677","-","**","26250","17281","-","**","23405","15517","1500000US240317032161","Block Group 1, Census Tract 7032.16, Montgomery County, Maryland"
"30603","7736","32154","15780","44044","11428","20586","6145","27917","5732","49107","36519","20441","12201","1500000US240317032162","Block Group 2, Census Tract 7032.16, Montgomery County, Maryland"
"-","**","-","**","-","**","-","**","-","**","63571","21147","9459","8560","1500000US240317032163","Block Group 3, Census Tract 7032.16, Montgomery County, Maryland"
"53000","8538","54444","23689","-","**","-","**","44444","17778","61250","13561","38846","8426","1500000US240317032181","Block Group 1, Census Tract 7032.18, Montgomery County, Maryland"
"-","**","-","**","-","**","-","**","39625","22822","-","**","-","**","1500000US240317032182","Block Group 2, Census Tract 7032.18, Montgomery County, Maryland"
"-","**","31250","28688","-","**","31250","28688","-","**","-","**","-","**","1500000US240317032191","Block Group 1, Census Tract 7032.19, Montgomery County, Maryland"
"21641","6212","20750","18828","-","**","-","**","26711","23292","-","**","26382","15631","1500000US240317032192","Block Group 2, Census Tract 7032.19, Montgomery County, Maryland"
"38359","26945","-","**","-","**","-","**","-","**","81417","41247","-","**","1500000US240317032193","Block Group 3, Census Tract 7032.19, Montgomery County, Maryland"
"96116","16431","96116","16949","96853","49349","-","**","92500","82932","92500","82932","-","**","1500000US240317032201","Block Group 1, Census Tract 7032.20, Montgomery County, Maryland"
"30414","4475","48737","3525","50262","6563","-","**","24023","5113","38148","7880","-","**","1500000US240317032202","Block Group 2, Census Tract 7032.20, Montgomery County, Maryland"
"47101","17202","46522","28018","71765","32717","6875","6521","52721","22614","70833","13310","-","**","1500000US240317032203","Block Group 3, Census Tract 7032.20, Montgomery County, Maryland"
