"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"42955","27594","51250","5723","51913","11193","-","**","15781","12466","-","**","2,500-","***","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"26676","11895","40865","19211","53583","2567","-","**","23179","8618","31786","17536","11483","1169","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"40817","9510","44537","3586","45726","3828","40167","35213","30625","5262","32333","14129","16172","7680","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"30439","20616","43438","19378","46902","37382","-","**","-","**","35938","3687","11085","363","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"36250","15358","41761","9843","44797","31017","15402","2915","28561","11570","46641","35735","12917","10162","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"14325","2269","13927","1988","21148","7182","-","**","35357","28487","-","**","27639","24598","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"18245","5010","19362","5926","23750","15934","17645","13324","16279","3509","32708","19555","15552","2048","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"5544","1505","5552","2175","60417","25544","4575","1622","5536","1939","-","**","5268","1855","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"44208","12205","44000","12175","47850","10058","-","**","46042","24618","58582","8292","15463","10457","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
