"B11005_001E","B11005_001M","B11005_002E","B11005_002M","B11005_003E","B11005_003M","B11005_004E","B11005_004M","B11005_005E","B11005_005M","B11005_006E","B11005_006M","B11005_007E","B11005_007M","B11005_008E","B11005_008M","B11005_009E","B11005_009M","B11005_010E","B11005_010M","B11005_011E","B11005_011M","B11005_012E","B11005_012M","B11005_013E","B11005_013M","B11005_014E","B11005_014M","B11005_015E","B11005_015M","B11005_016E","B11005_016M","B11005_017E","B11005_017M","B11005_018E","B11005_018M","B11005_019E","B11005_019M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Households with one or more people under 18 years","Margin of Error!!Total!!Households with one or more people under 18 years","Estimate!!Total!!Households with one or more people under 18 years!!Family households","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Married-couple family","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Married-couple family","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Male householder","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Male householder","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Female householder","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Female householder","Estimate!!Total!!Households with no people under 18 years","Margin of Error!!Total!!Households with no people under 18 years","Estimate!!Total!!Households with no people under 18 years!!Family households","Margin of Error!!Total!!Households with no people under 18 years!!Family households","Estimate!!Total!!Households with no people under 18 years!!Family households!!Married-couple family","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Married-couple family","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households!!Male householder","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households!!Male householder","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households!!Female householder","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households!!Female householder","id","Geographic Area Name"
"235","59","59","44","59","44","52","42","7","11","7","11","0","12","0","12","0","12","0","12","176","54","98","45","98","45","0","12","0","12","0","12","78","45","30","25","48","37","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"714","92","139","42","139","42","106","38","33","28","18","19","15","24","0","12","0","12","0","12","575","90","346","90","312","84","34","29","25","25","9","15","229","81","119","59","110","50","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"520","84","121","57","121","57","79","51","42","29","6","10","36","27","0","12","0","12","0","12","399","90","242","71","217","73","25","26","14","20","11","17","157","73","95","62","62","39","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"294","66","73","42","73","42","50","32","23","27","0","12","23","27","0","12","0","12","0","12","221","62","132","49","132","49","0","12","0","12","0","12","89","50","49","41","40","32","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"472","71","112","47","78","41","71","41","7","13","0","12","7","13","34","36","0","12","34","36","360","71","221","65","203","62","18","19","9","13","9","14","139","55","90","45","49","30","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"386","73","118","64","118","64","70","35","48","52","48","52","0","12","0","12","0","12","0","12","268","54","171","53","151","52","20","20","8","13","12","17","97","40","54","30","43","29","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"524","85","140","60","140","60","112","53","28","30","0","12","28","30","0","12","0","12","0","12","384","81","223","64","174","60","49","38","0","12","49","38","161","68","68","49","93","46","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"247","69","52","43","52","43","39","39","13","21","0","12","13","21","0","12","0","12","0","12","195","55","115","55","85","60","30","32","21","28","9","14","80","46","62","40","18","21","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"294","65","69","45","69","45","54","38","15","23","0","12","15","23","0","12","0","12","0","12","225","66","118","44","87","42","31","33","0","12","31","33","107","52","73","49","34","30","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
