"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002EA","B25004_002M","B25004_002MA","B25004_003E","B25004_003EA","B25004_003M","B25004_003MA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006EA","B25004_006M","B25004_006MA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","78","45","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","78","45","null","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","58","43","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","58","43","null","null",
"1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland","91","61","null","null","25","null","39","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","66","61","null","null",
"1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland","115","78","null","null","45","null","49","null","22","null","34","null","0","12","null","null","0","12","null","null","24","null","39","null","0","12","null","null","24","38","null","null",
"1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland","137","61","null","null","92","null","53","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","45","35","null","null",
"1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland","100","65","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","100","65","null","null",
"1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland","65","46","null","null","0","null","12","null","0","null","12","null","19","30","null","null","0","12","null","null","25","null","39","null","0","12","null","null","21","34","null","null",
"1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland","54","49","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","54","49","null","null",
"1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland","23","28","null","null","18","null","27","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","5","9","null","null",
"1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland","19","31","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","19","31","null","null",
