"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1","Estimate!!Total!!Enrolled in school!!Enrolled in grade 2","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 2","Estimate!!Total!!Enrolled in school!!Enrolled in grade 3","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 3","Estimate!!Total!!Enrolled in school!!Enrolled in grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5","Estimate!!Total!!Enrolled in school!!Enrolled in grade 6","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 6","Estimate!!Total!!Enrolled in school!!Enrolled in grade 7","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 7","Estimate!!Total!!Enrolled in school!!Enrolled in grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9","Estimate!!Total!!Enrolled in school!!Enrolled in grade 10","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 10","Estimate!!Total!!Enrolled in school!!Enrolled in grade 11","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 11","Estimate!!Total!!Enrolled in school!!Enrolled in grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school","id","Geographic Area Name"
"625","225","200","158","0","12","0","12","41","57","0","12","0","12","0","12","8","16","0","12","0","12","32","28","48","60","33","36","0","12","0","12","30","42","8","15","425","109","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"1542","300","193","89","0","12","7","14","17","26","28","28","0","12","18","25","0","12","15","19","18","25","9","16","28","24","7","16","0","12","26","31","11","17","9","14","1349","281","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"1285","262","251","105","0","12","7","12","6","9","0","12","0","12","0","12","11","17","25","20","0","12","18","20","31","27","43","46","30","40","9","14","71","67","0","12","1034","207","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"762","182","108","80","0","12","11","17","0","12","0","12","0","12","5","10","0","12","0","12","15","18","22","27","0","12","9","15","11","20","13","22","22","28","0","12","654","134","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"879","160","173","81","13","20","11","18","0","12","10","15","6","11","0","12","0","12","4","9","0","12","5","9","10","17","10","17","51","37","0","12","47","36","6","10","706","108","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"2357","299","252","110","22","30","0","12","29","29","14","17","6","9","22","29","0","12","0","12","7","11","0","12","0","12","16","23","16","18","37","41","64","34","19","24","2105","285","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"1441","237","336","130","0","12","11","18","10","16","9","13","22","24","0","12","0","12","79","54","57","55","56","51","10","16","0","12","27","27","0","12","45","40","10","15","1105","177","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"601","240","173","119","12","19","0","12","0","12","0","12","11","17","54","53","0","12","53","53","0","12","0","12","12","20","0","12","0","12","12","19","19","33","0","12","428","160","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"498","152","116","97","11","18","0","12","0","12","0","12","12","18","0","12","13","20","0","12","12","19","0","12","0","12","0","12","24","26","0","12","44","49","0","12","382","102","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
